"NutsID","DICOFRE","region_name","year","edu_none","edu_basic","edu_secondary","edu_superior","labour_family","labour_holder","labour_spouse","labour_other_family","labour_non_family","labour_regular","labour_non_regular","labour_not_hired","production_eur","production_area","livestock_cattle","livestock_pigs","livestock_sheep","livestock_goats","livestock_equidae","livestock_poultry","livestock_rabbits","livestock_hives","grassland_area","grassland_holdings","cereals_area","dried_pulses_area","grasses_area","fodder_area","potatoes_area","sugarbeets_area","industrial_crops_area","fresh_veg_area","flowers_area","other_temp_crops_area","cereals_area","dried_pulses_area","grasses_area","fodder_area","potatoes_area","sugarbeets_area","industrial_crops_area","fresh_veg_area","flowers_area","other_temp_crops_area","fresh_fruit_area","citrus_area","fruit_area","nuts_area","olive_area","vineyards_area","other_permanent_crop_area","fresh_fruit_holdings","citrus_holdings","fruit_holdings","nuts_holdings","olive_holdings","vineyard_holdings","other_permanent_crop_holdings"
"111160101","160101",Aboim das Choças,2019,15,61,11,7,34,15,13,6,2,1,0,0,101072,1921.9,63,4,71,32,0,389,104,8,29,13,6,0,0,5,0,0,0,0,0,0,19,1,0,7,7,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,32,0
"111160101","160101",Aboim das Choças,2009,30,57,4,4,50,24,19,8,1,0,0,0,102370,1118.5,65,18,58,12,1,447,92,3,53,18,8,1,19,12,1,0,0,0,0,0,24,14,20,29,21,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,29,0
"111160101","160101",Aboim das Choças,1999,49,73,7,6,62,26,22,14,2,0,2,0,166418,2101.0,62,30,39,0,1,779,80,3,28,7,15,1,19,17,1,0,0,0,0,2,35,5,27,34,19,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,40,0
"111160101","160101",Aboim das Choças,1989,167,97,4,0,163,70,55,38,6,1,5,0,,,123,35,49,4,0,925,80,29,6,2,43,18,60,60,3,0,0,0,0,9,78,76,73,80,58,0,0,0,0,74,0,0,0,0,0,28,0,0,0,0,0,1,84,0
"111160102","160102",Aguiã,2019,24,68,5,2,70,38,27,5,3,0,2,0,156561,1642.8,52,13,157,46,0,562,69,180,66,48,10,0,0,10,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,2,39,0
"111160102","160102",Aguiã,2009,23,82,8,4,66,38,20,7,2,1,1,0,141807,1227.0,76,9,104,45,5,527,121,2,53,5,24,0,19,29,3,0,0,0,0,0,38,6,33,40,26,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,42,0
"111160102","160102",Aguiã,1999,71,99,2,2,78,37,25,16,4,0,3,0,168765,1059.0,107,9,151,82,7,866,50,1,85,8,26,8,14,34,2,0,0,0,0,1,53,49,39,53,53,0,0,0,0,4,0,0,0,0,0,20,0,0,0,0,0,0,54,0
"111160102","160102",Aguiã,1989,94,220,2,0,178,66,55,57,5,0,5,0,,,130,23,114,24,0,1022,134,0,11,16,31,27,3,41,5,0,0,0,0,15,80,80,15,80,56,0,0,0,0,67,0,0,0,0,1,14,0,1,2,0,0,6,79,0
"111160104","160104",Ázere,2019,3,48,12,5,18,11,5,2,1,0,1,0,140132,2428.6,68,19,82,52,0,407,85,0,37,26,5,0,0,3,0,0,0,0,0,0,16,4,1,7,4,0,0,1,1,0,2,1,0,0,0,7,0,2,2,0,3,4,18,0
"111160104","160104",Ázere,2009,28,42,2,6,29,17,10,2,2,0,1,0,90852,1629.6,50,5,38,106,14,393,144,13,18,15,15,0,14,15,1,0,0,0,0,1,22,5,18,22,21,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,25,0
"111160104","160104",Ázere,1999,46,56,0,2,55,24,20,11,5,0,5,0,121287,2133.5,69,29,16,3,4,710,40,1,5,19,26,2,9,33,1,0,0,0,0,2,29,20,22,28,12,0,0,0,0,26,0,0,0,0,0,8,0,4,2,0,0,2,30,0
"111160104","160104",Ázere,1989,76,60,4,1,89,33,29,27,13,1,12,0,,,70,3,73,5,0,668,27,1,16,2,38,32,46,57,1,0,0,0,0,17,34,33,37,39,37,0,0,0,0,28,1,0,0,0,0,12,0,3,0,0,1,1,39,0
"111160105","160105",Cabana Maior,2019,24,34,5,0,25,15,9,1,0,0,0,0,189450,152.7,110,0,161,46,40,230,5,0,1237,32,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0
"111160105","160105",Cabana Maior,2009,42,22,1,0,33,19,11,3,0,0,0,0,163891,102.8,123,5,213,39,63,280,43,6,1590,27,2,0,0,2,1,0,0,0,0,0,18,14,0,19,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0
"111160105","160105",Cabana Maior,1999,80,77,2,0,98,53,32,13,4,0,3,0,342229,159.7,234,6,686,414,59,660,151,21,2082,46,15,4,30,18,2,0,0,0,0,1,60,47,33,52,48,0,0,1,0,11,0,0,0,0,0,6,0,1,1,0,0,0,52,0
"111160105","160105",Cabana Maior,1989,212,75,7,1,187,89,49,50,7,0,7,0,,,281,11,477,269,22,1104,57,2,372,75,43,19,23,69,3,0,0,0,0,5,92,92,40,92,85,0,0,0,0,54,0,0,0,0,1,5,0,0,1,0,0,5,79,0
"111160106","160106",Cabreiro,2019,66,107,23,8,114,71,32,11,9,6,3,0,612235,221.4,699,4,84,61,118,724,82,23,2715,86,9,0,30,0,0,0,0,0,0,0,49,2,57,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,2,4,34,0
"111160106","160106",Cabreiro,2009,152,104,8,4,177,90,57,30,2,0,1,0,504842,210.4,697,12,278,124,187,1202,199,22,2340,101,32,7,7,43,2,0,0,0,0,0,103,82,32,106,52,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,101,0
"111160106","160106",Cabreiro,1999,209,108,1,1,234,113,70,51,2,0,2,0,623085,283.7,745,49,487,601,270,1684,103,210,2102,114,60,16,0,79,5,0,0,0,0,3,129,108,0,124,82,0,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,0,115,0
"111160106","160106",Cabreiro,1989,402,290,1,0,423,174,113,135,27,2,25,0,,,872,86,913,890,125,2218,28,27,155,141,175,89,7,221,9,0,0,0,0,68,207,207,10,208,194,0,0,1,0,130,0,0,0,0,0,22,0,0,0,0,0,3,183,0
"111160108","160108",Cendufe,2019,5,35,6,4,30,17,10,3,3,2,1,0,80108,1292.5,12,1,120,37,4,325,22,0,40,17,3,0,0,6,1,0,0,0,0,0,11,2,0,10,12,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,6,0,21,0
"111160108","160108",Cendufe,2009,32,61,14,3,69,32,30,6,3,0,3,0,111995,1259.8,28,11,121,41,1,618,89,6,33,23,10,0,3,37,2,0,0,0,0,0,30,2,1,33,23,0,0,2,0,0,0,0,0,2,0,11,0,0,3,0,1,4,40,0
"111160108","160108",Cendufe,1999,83,90,9,7,75,38,24,14,3,1,2,0,156077,1675.5,70,27,26,54,2,1069,176,6,22,27,34,3,4,27,3,0,0,0,0,0,52,22,7,49,52,0,0,1,0,5,0,0,0,0,0,17,0,0,0,0,0,3,56,0
"111160108","160108",Cendufe,1989,117,150,13,1,165,65,54,47,15,2,13,0,,,140,17,72,37,1,1181,74,5,73,61,72,20,1,82,3,0,0,0,0,19,79,78,2,76,80,0,0,1,0,73,1,0,0,0,2,19,0,2,1,0,1,44,80,4
"111160109","160109",Couto,2019,13,70,17,4,26,13,8,5,2,0,1,0,132006,2053.3,47,3,78,2,11,551,32,450,44,32,4,1,1,1,0,0,0,0,0,0,16,3,2,3,4,0,0,1,0,0,0,0,0,1,0,7,0,3,1,0,4,5,21,0
"111160109","160109",Couto,2009,24,45,4,1,38,19,13,6,3,1,2,0,67211,1227.6,23,7,172,3,3,481,23,0,16,20,11,2,9,18,1,0,0,0,0,2,21,17,19,21,10,0,0,1,0,14,0,0,0,0,0,3,0,1,0,0,1,0,25,0
"111160109","160109",Couto,1999,80,93,7,2,70,35,22,13,11,2,9,0,150135,1638.9,71,40,118,3,2,1303,261,0,18,36,25,7,10,18,2,0,0,0,0,8,54,50,27,42,58,0,1,5,0,30,0,0,0,0,0,14,0,0,0,0,1,0,63,0
"111160109","160109",Couto,1989,161,133,19,0,167,63,64,40,22,11,12,0,,,131,23,129,10,2,1216,60,1,2,9,57,29,39,83,5,0,0,0,0,27,86,86,50,87,75,0,0,1,0,75,0,0,0,0,1,22,0,2,3,0,0,16,89,0
"111160113","160113",Gavieira,2019,103,114,36,18,67,34,22,10,3,2,1,0,1262534,444.4,2170,12,11,367,15,462,111,77,2823,110,8,2,2,10,3,0,0,0,0,0,40,26,2,39,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,0
"111160113","160113",Gavieira,2009,111,113,10,3,135,72,49,14,2,1,1,0,644006,1808.4,1721,14,60,16,161,881,161,27,334,93,10,1,4,11,2,0,0,0,0,0,46,14,6,45,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
